Издатель,Количество игр,Средняя цена,Средние владельцы,Средний CCU,Суммарный доход (оценка),Средний метаскор,Средняя доля положительных отзывов
Hala M. Dev,1,165.0,35000.0,0.0,5775000.0,,0.6667
Halycon Media,1,550.0,10000.0,0.0,5500000.0,,0.5347
HandMade Games,2,84.0,10000.0,0.0,1680000.0,,0.7345999999999999
Happymax,1,21.0,10000.0,0.0,210000.0,,0.5
"Hassey Enterprises, Inc.",1,,10000.0,0.0,0.0,,0.0
"Headbang Club, Whisper Games, Kakehashi",1,,10000.0,1.0,0.0,73.0,0.0
Heartomics,1,,10000.0,0.0,0.0,,0.0
Hentai works,1,42.0,10000.0,0.0,420000.0,,0.9306
HeroCraft PC,1,322.0,10000.0,1.0,3220000.0,,0.8442
Hidden Achievement LLC,1,,10000.0,0.0,0.0,,0.0
Honestly Games,1,,10000.0,2.0,0.0,,0.0
Honey Studio,1,259.0,10000.0,0.0,2590000.0,,0.0
Horny69Team,1,52.0,10000.0,0.0,520000.0,,0.2857
HoroGames,1,,10000.0,1.0,0.0,,0.88
Hosted Games,2,222.5,10000.0,2.0,4450000.0,,0.89005
Hub Culture Ltd,1,,10000.0,0.0,0.0,,0.0
Humble Games,1,,10000.0,0.0,0.0,,1.0
Hydra Games S.A.,1,,10000.0,0.0,0.0,,0.0
Hyperion Studio LLC,1,,10000.0,1.0,0.0,,0.0
IO Interactive A/S,1,,10000.0,0.0,0.0,,0.4076
"IQ Publishing, Airem",1,,10000.0,0.0,0.0,,0.0
IR Studio,2,42.0,10000.0,0.0,840000.0,,1.0
IS-TL,1,205.0,10000.0,0.0,2050000.0,,0.3333
IV Productions,1,,10000.0,0.0,0.0,,0.0
Idea Factory International,2,671.0,80000.0,9.0,195420000.0,,0.85065
"Idea Factory International, Inc.",1,82.0,10000.0,0.0,820000.0,,0.6667
Improbable Worlds Limited,1,,10000.0,1202.0,0.0,,0.0
IndieArk,1,550.0,350000.0,276.0,192500000.0,,0.7204
