Разработчик,Количество игр,Средняя цена,Средние владельцы,Средний CCU,Суммарный доход (оценка),Средний метаскор
Kristyna Chytilova,1,,10000.0,0.0,0.0,
Krzysztof Konopka,1,,10000.0,0.0,0.0,
Kwing works,1,133.0,10000.0,0.0,1330000.0,
L.YC,1,,10000.0,0.0,0.0,
LK Avalon,1,490.0,10000.0,0.0,4900000.0,
LTZinc,1,42.0,10000.0,0.0,420000.0,
LU QI,1,99.0,10000.0,0.0,990000.0,
Lamplight Studios,1,129.0,10000.0,0.0,1290000.0,
Laplacian,1,259.0,10000.0,0.0,2590000.0,
Larkon Studio,1,385.0,35000.0,0.0,13475000.0,
LarsMidnatt,1,385.0,10000.0,0.0,3850000.0,
Laugical Games,1,,10000.0,0.0,0.0,
Leeside Games,1,,10000.0,0.0,0.0,
LesLove.Club,1,,10000.0,0.0,0.0,
Level 99 Games,1,133.0,10000.0,0.0,1330000.0,
Li Yin,1,125.0,10000.0,0.0,1250000.0,
Liar-soft,1,,10000.0,2.0,0.0,
Light Road Games,1,385.0,10000.0,1.0,3850000.0,
Lightspyre Tales,1,,10000.0,0.0,0.0,
Lil Hentai Games,1,125.0,10000.0,0.0,1250000.0,
Lingon Studios,1,385.0,75000.0,76.0,28875000.0,
LionArc,1,550.0,10000.0,0.0,5500000.0,
Lizard Games Studio,1,,10000.0,108.0,0.0,
Llama Software,1,29.0,10000.0,0.0,290000.0,
Longbow Games,1,,10000.0,0.0,0.0,
Loresoft,1,,10000.0,1.0,0.0,
Lot10Games,1,42.0,10000.0,0.0,420000.0,
Love-Joint,1,550.0,10000.0,94.0,5500000.0,
LucasArts,1,,75000.0,3.0,0.0,
"Ludosity, Remar Games",1,,10000.0,0.0,0.0,
LusionSoft,1,249.0,10000.0,0.0,2490000.0,
MAGIX Software GmbH,1,,10000.0,1.0,0.0,
MIDNIGHT WORKS Societatea cu Răspundere Limitată,1,,10000.0,0.0,0.0,
Machine Sharks,1,,10000.0,0.0,0.0,
Mad Games,1,,10000.0,0.0,0.0,
Mahjong Dimensions 3D,1,42.0,10000.0,0.0,420000.0,
Malzbie Games,2,,10000.0,0.0,0.0,
"Manuel Schmuki, starlit studio",1,125.0,10000.0,0.0,1250000.0,
Marmalade Game Studio Ltd,1,620.0,350000.0,62.0,217000000.0,
Marshall Games,1,42.0,10000.0,0.0,420000.0,
Marvelous Inc.,2,1030.0,10000.0,2.0,20600000.0,
Matan Cohen,1,,10000.0,0.0,0.0,
"Matchup-Gamedesign, Tobias Gaertner",1,,10000.0,0.0,0.0,
Matt McCorkle,1,,10000.0,0.0,0.0,
"Matt McGreevy, Charlie Martini",1,,10000.0,0.0,0.0,
Maverick Game Studio,1,79.0,75000.0,0.0,5925000.0,
Maxis,1,,10000.0,0.0,0.0,
Mediator Software,1,,10000.0,0.0,0.0,
Megame LLC,1,,75000.0,6.0,0.0,
Meteorbyte Studios,1,349.0,35000.0,0.0,12215000.0,
Mi-Clos Studio,1,149.0,10000.0,0.0,1490000.0,
"Mi-Clos Studio, Goblinz Studio, FibreTigre",1,,10000.0,0.0,0.0,
"Micah Brown, Benjamin Brown",1,,10000.0,0.0,0.0,
Middle Edge Software,1,165.0,10000.0,0.0,1650000.0,
Midjiwan AB,1,125.0,10000.0,0.0,1250000.0,
Miga,1,,10000.0,0.0,0.0,
Might and Delight,1,,350000.0,0.0,0.0,
